Time	Node	Type	Packets	
28	6	CacheMisses	71
28	7	CacheHits	39
28	7	CacheMisses	64
28	8	CacheHits	109
28	8	CacheMisses	309
28.5	0	CacheHits	25
28.5	0	CacheMisses	40
28.5	1	CacheHits	294
28.5	1	CacheMisses	122
28.5	2	CacheHits	14
28.5	2	CacheMisses	147
28.5	3	CacheHits	277
28.5	3	CacheMisses	129
28.5	4	CacheHits	57
28.5	4	CacheMisses	97
28.5	5	CacheHits	26
28.5	5	CacheMisses	149
28.5	6	CacheHits	2
28.5	6	CacheMisses	142
28.5	7	CacheHits	44
28.5	7	CacheMisses	120
28.5	8	CacheHits	108
28.5	8	CacheMisses	299
29	0	CacheHits	44
29	0	CacheMisses	66
